iter	Passed	Remaining
849	29618	144605
850	29655	144585
851	29691	144554
852	29727	144525
853	29763	144497
854	29802	144479
855	29838	144453
856	29875	144425
857	29911	144396
858	29947	144370
859	29984	144343
860	30023	144329
861	30060	144303
862	30110	144343
863	30147	144318
864	30183	144288
865	30220	144263
866	30260	144250
867	30296	144223
868	30332	144192
869	30368	144161
870	30403	144129
871	30440	144101
872	30477	144080
873	30513	144049
874	30551	144027
875	30587	144000
876	30623	143969
877	30659	143940
878	30698	143923
879	30734	143895
880	30770	143863
881	30807	143840
882	30843	143808
883	30880	143783
884	30922	143779
885	30958	143751
886	30993	143715
887	31029	143684
888	31064	143651
889	31100	143620
890	31154	143675
891	31191	143648
892	31227	143619
893	31264	143594
894	31301	143565
895	31338	143541
896	31376	143521
897	31412	143489
898	31448	143460
899	31484	143430
900	31519	143392
901	31556	143366
902	31596	143356
903	31632	143324
904	31667	143289
905	31702	143254
906	31737	143220
907	31776	143205
908	31815	143186
909	31851	143154
910	31888	143130
911	31924	143101
912	31961	143074
913	31998	143048
914	32037	143032
915	32073	143000
916	32109	142970
917	32159	143000
918	32195	142968
919	32233	142948
920	32269	142918
921	32305	142884
922	32339	142848
923	32376	142820
924	32412	142790
925	32449	142764
926	32488	142746
927	32523	142712
928	32560	142682
929	32595	142651
930	32631	142616
931	32665	142580
932	32706	142567
933	32740	142530
934	32777	142504
935	32814	142477
936	32852	142453
937	32888	142422
938	32927	142405
939	32961	142367
940	32999	142343
941	33034	142307
942	33069	142270
943	33107	142251
944	33160	142291
945	33196	142261
946	33234	142236
947	33273	142218
948	33311	142195
949	33349	142174
950	33388	142157
951	33426	142131
952	33464	142108
953	33500	142076
954	33537	142050
955	33578	142042
956	33617	142021
957	33652	141987
958	33689	141960
959	33724	141923
960	33761	141897
961	33799	141875
962	33836	141846
963	33875	141827
964	33911	141794
965	33946	141761
966	33983	141733
967	34021	141708
968	34056	141672
969	34092	141642
970	34128	141609
971	34178	141637
972	34214	141606
973	34250	141573
974	34287	141546
975	34324	141517
976	34362	141495
977	34398	141462
978	34435	141435
979	34475	141418
980	34511	141387
981	34546	141352
982	34582	141318
983	34617	141284
984	34653	141253
985	34692	141231
986	34728	141200
987	34763	141164
988	34800	141137
989	34836	141103
990	34873	141077
991	34910	141049
992	34946	141017
993	34982	140987
994	35017	140950
995	35053	140918
996	35092	140897
997	35130	140874
998	35166	140840
999	35220	140882
1000	35257	140852
1001	35293	140821
1002	35330	140794
1003	35367	140765
1004	35402	140730
1005	35437	140693
1006	35472	140656
1007	35507	140621
1008	35549	140614
1009	35587	140587
1010	35621	140548
1011	35657	140516
1012	35692	140479
1013	35728	140448
1014	35766	140424
1015	35803	140394
1016	35839	140364
1017	35875	140329
1018	35911	140296
1019	35947	140264
1020	35985	140239
1021	36022	140211
1022	36056	140173
1023	36092	140141
1024	36130	140116
1025	36165	140080
1026	36221	140126
1027	36257	140093
1028	36293	140057
1029	36327	140019
1030	36362	139985
1031	36400	139956
1032	36438	139932
1033	36474	139902
1034	36510	139868
1035	36546	139837
1036	36581	139801
1037	36618	139772
1038	36656	139747
1039	36692	139715
1040	36728	139682
1041	36765	139654
1042	36801	139621
1043	36837	139586
1044	36879	139578
1045	36918	139555
1046	36954	139525
1047	36989	139488
1048	37024	139448
1049	37063	139427
1050	37099	139398
1051	37136	139367
1052	37170	139329
1053	37206	139295
1054	37260	139328
1055	37297	139301
1056	37335	139274
1057	37370	139240
1058	37406	139206
1059	37443	139175
1060	37479	139142
1061	37516	139114
1062	37553	139084
1063	37588	139051
1064	37624	139017
1065	37660	138985
1066	37696	138950
1067	37733	138921
1068	37771	138896
1069	37808	138866
1070	37845	138836
1071	37881	138804
1072	37917	138769
1073	37954	138741
1074	37993	138719
1075	38028	138685
1076	38064	138651
1077	38099	138615
1078	38136	138583
1079	38173	138553
1080	38212	138534
1081	38249	138503
1082	38305	138544
1083	38341	138511
1084	38377	138478
1085	38415	138451
1086	38460	138449
1087	38496	138416
1088	38532	138382
1089	38569	138355
1090	38606	138324
1091	38642	138292
1092	38680	138267
1093	38721	138249
1094	38761	138231
1095	38797	138197
1096	38835	138170
1097	38873	138146
1098	38908	138108
1099	38945	138078
1100	38982	138051
1101	39019	138020
1102	39057	137993
1103	39094	137964
1104	39128	137925
1105	39164	137891
1106	39201	137861
1107	39236	137824
1108	39286	137839
1109	39322	137807
1110	39359	137777
1111	39394	137739
1112	39430	137704
1113	39465	137668
1114	39502	137637
1115	39539	137607
1116	39576	137579
1117	39611	137542
1118	39649	137514
1119	39683	137474
1120	39719	137442
1121	39758	137419
1122	39795	137387
1123	39830	137351
1124	39866	137316
1125	39902	137285
1126	39940	137258
1127	39980	137236
1128	40019	137213
1129	40058	137191
1130	40095	137160
1131	40137	137149
1132	40176	137123
1133	40212	137092
1134	40249	137062
1135	40306	137098
1136	40341	137060
1137	40376	137025
1138	40413	136993
1139	40452	136969
1140	40488	136936
1141	40524	136904
1142	40561	136872
1143	40598	136841
1144	40635	136812
1145	40675	136792
1146	40710	136754
1147	40747	136722
1148	40782	136685
1149	40817	136649
1150	40853	136616
1151	40899	136615
1152	40939	136596
1153	40976	136563
1154	41013	136532
1155	41049	136499
1156	41086	136470
1157	41124	136442
1158	41159	136404
1159	41195	136372
1160	41231	136336
1161	41267	136303
1162	41326	136344
1163	41360	136305
1164	41395	136268
1165	41432	136236
1166	41467	136200
1167	41503	136164
1168	41539	136133
1169	41578	136107
1170	41613	136069
1171	41647	136029
1172	41683	135994
